EXTRACT_DE,ORG_CAR_MAKER_KOR,TRVL,USE_YEAR
20210301,현대,222000,16.7
20170801,기아,215000,15.3
20160101,기아,213000,14.9
20180601,한국지엠,179000,15.5
20190601,현대,217000,16.5
20220101,기아,215000,15.2
20190801,르노코리아,226000,14.7
20180701,한국지엠,178000,15.4
20200701,현대,220000,16.4
20180801,KGM,237000,15.5
20180401,르노코리아,229000,14.4
20180101,한국지엠,178000,15.2
20210501,기아,228000,16.1
20210701,현대,221000,16.6
20180901,한국지엠,178000,15.3
20210401,기아,229000,16.2
20200701,한국지엠,179000,15.3
20160501,현대,213000,16.5
20170301,한국지엠,180000,15.4
20191101,현대,224000,16.4
20200601,기아,221000,15.7
20200401,기아,226000,15.8
20210301,기아,222000,15.7
20151201,현대,211000,16.5
20220501,기아,225000,16.0
20201201,현대,219000,16.6
20240101,기아,214000,15.7
20230401,기아,229000,15.8
20160701,한국지엠,184000,15.3
20160201,기아,217000,14.8
20191001,한국지엠,180000,15.4
20230101,현대,221000,16.7
20200701,르노코리아,219000,15.0
20170201,한국지엠,182000,15.4
20190801,KGM,229000,15.4
20160901,르노코리아,236000,13.6
20210101,KGM,227000,15.7
20240301,기아,223000,15.8
20220701,한국지엠,184000,15.5
20230701,르노코리아,215000,16.1
20200201,기아,220000,15.4
20161101,르노코리아,235000,13.7
20220301,기아,224000,15.9
20240501,르노코리아,212000,16.4
20220901,르노코리아,212000,15.9
20180701,르노코리아,230000,14.4
20170801,르노코리아,223000,13.9
20231001,한국지엠,179000,16.1
20220401,KGM,227000,17.1
20170501,르노코리아,229000,14.1
20221001,한국지엠,175000,15.6
20200201,KGM,225000,15.6
20190201,르노코리아,223000,14.3
20181101,르노코리아,221000,14.4
20200801,KGM,228000,15.8
20220801,쉐보레,168000,9.6
20161101,KGM,244000,15.3
20161201,KGM,239000,15.2
20180801,르노코리아,225000,14.3
20160101,르노코리아,235000,13.1
20180401,쉐보레,142000,6.2
20210601,쉐보레,173000,8.7
20200101,쉐보레,159000,7.3
20190301,쉐보레,147000,6.9
20190201,쉐보레,153000,6.8
20181201,쉐보레,146000,6.6
20170401,쉐보레,135000,5.6
20161001,쉐보레,120000,5.4
20170601,쉐보레,182000,5.7
20160801,쉐보레,149000,5.2
20160601,쉐보레,129000,5.2
20231101,제네시스,165000,6.5
20211001,제네시스,140000,5.1
20210901,제네시스,158000,5.4
20160401,현대,213000,16.5
20220101,현대,221000,16.4
20160901,한국지엠,183000,15.3
20190701,기아,219000,15.5
20230501,기아,227000,15.8
20171201,한국지엠,179000,15.4
20180201,현대,216000,16.1
20200101,KGM,226000,15.7
20180801,현대,216000,16.4
20230401,현대,232000,17.0
20150801,현대,213000,16.4
20201201,기아,219000,15.6
20231001,현대,229000,17.0
20230501,현대,231000,17.0
20171201,현대,214000,16.5
20230701,현대,226000,16.9
20151001,한국지엠,185000,15.0
20160501,기아,215000,15.0
20160501,한국지엠,184000,15.3
20150701,기아,213000,14.8
20220801,기아,216000,15.6
20220801,현대,221000,16.7
20200801,한국지엠,181000,15.3
20180801,기아,216000,15.4
20160401,기아,216000,14.9
20150801,한국지엠,185000,14.9
20190101,현대,214000,16.5
20191101,한국지엠,178000,15.3
20220601,한국지엠,184000,15.5
20230901,기아,223000,15.8
20170901,기아,216000,15.3
20210901,현대,222000,16.6
20230201,KGM,225000,15.7
20181201,KGM,238000,15.3
20160701,기아,216000,15.0
20210401,르노코리아,219000,15.3
20200801,기아,215000,15.4
20230601,기아,224000,15.8
20230601,현대,229000,17.0
20220701,KGM,228000,16.2
20190201,KGM,234000,15.6
20240201,한국지엠,175000,16.2
20230201,한국지엠,179000,15.7
20200501,현대,220000,16.5
20220901,기아,214000,15.4
20180201,르노코리아,222000,14.1
20190301,기아,226000,15.5
20170101,기아,214000,15.0
20230201,르노코리아,215000,16.2
20240501,한국지엠,186000,16.2
20240201,KGM,224000,15.5
20230601,한국지엠,179000,15.9
20240601,르노코리아,212000,16.3
20160901,KGM,245000,15.1
20160701,KGM,242000,14.9
20170701,KGM,240000,15.3
20240501,쉐보레,180000,11.2
20210901,쉐보레,162000,8.8
20210401,쉐보레,169000,8.5
20230401,쉐보레,180000,10.2
20220201,쉐보레,169000,9.2
20170201,KGM,235000,15.0
20150801,KGM,245000,14.6
20151201,르노코리아,240000,13.1
20160901,쉐보레,128000,5.3
20200601,쉐보레,165000,7.9
20171001,쉐보레,144000,6.0
20190901,쉐보레,153000,7.2
20180301,쉐보레,140000,6.2
20200501,쉐보레,171000,7.7
