EXTRACT_DE,ORG_CAR_MAKER_KOR,TRVL,USE_YEAR
20180701,Chevrolet,275000,17.4
20161101,BMW,224000,14.3
20191201,BMW,209000,13.3
20171201,벤츠,226000,14.3
20230901,볼보,227000,16.0
20210701,벤츠,229000,14.8
20230201,BMW,221000,14.5
20190501,혼다,209000,11.7
20230501,닷지,162000,16.2
20171201,혼다,179000,10.6
20150901,혼다,179000,8.7
20160501,BMW,236000,13.3
20180501,BMW,219000,14.3
20210801,렉서스,222000,15.6
20230901,크라이슬러,207000,14.7
20230501,포드,194000,13.1
20190201,포드,201000,13.0
20170301,미쓰비시,165000,12.0
20160901,혼다,162000,9.8
20201201,아우디,199000,12.2
20221101,혼다,204000,14.6
20151101,Chevrolet,188000,12.8
20240201,렉서스,230000,16.0
20210601,아우디,200000,13.2
20210601,포드,193000,13.0
20171201,미쓰비시,260000,11.2
20210701,지프,220000,14.4
20211201,렉서스,230000,15.2
20210101,혼다,213000,13.1
20161001,볼보,187000,13.4
20170301,토요타,190000,13.1
20180801,혼다,216000,11.3
20200201,닷지,224000,19.0
20210801,혼다,213000,13.6
20201001,폭스바겐,200000,11.6
20160401,포드,186000,13.5
20240201,폭스바겐,209000,13.0
20200601,포드,195000,12.5
20220501,지프,254000,15.0
20220801,포드,185000,13.0
20200701,크라이슬러,194000,13.2
20170301,닷지,205000,15.8
20180701,포드,185000,13.3
20180301,포르쉐,134000,9.4
20231101,아큐라,158000,13.5
20160901,볼보,210000,14.8
20160801,볼보,199000,15.9
20160501,이글,290000,18.4
20171001,닷지,231000,15.5
20190301,닷지,211000,17.5
20190801,지프,236000,15.3
20231201,혼다,222000,14.8
20191101,볼보,222000,14.7
20230601,포드,189000,12.6
20220601,지프,228000,14.3
20201001,혼다,219000,12.6
20220501,닷지,211000,17.0
20240501,닷지,190000,19.4
20210901,닷지,197000,16.6
20211201,지프,234000,14.5
20230301,BMW,217000,14.6
20240301,캐딜락,176000,14.5
20160601,혼다,215000,8.8
20231001,혼다,211000,14.6
20240101,닛산,180000,12.2
20230701,포드,196000,12.6
20220601,아우디,211000,13.5
20220601,크라이슬러,200000,14.4
20220101,토요타,203000,11.2
20230701,닛산,184000,12.2
20210501,BMW,219000,14.5
20200801,폭스바겐,210000,11.7
20211201,혼다,206000,13.4
20180301,혼다,204000,10.8
20151001,렉서스,206000,10.2
20190801,폭스바겐,203000,11.3
20180501,혼다,183000,11.1
20200701,재규어,178000,12.1
20230301,혼다,220000,14.9
20240101,토요타,209000,11.9
20231001,닛산,177000,12.6
20211201,닛산,199000,11.4
20221201,닛산,182000,11.8
20200901,인피니티,185000,12.1
20230401,토요타,209000,11.3
20200701,닛산,155000,10.7
20240401,렉서스,230000,16.8
20170501,랜드로버,206000,11.6
20230601,토요타,177000,11.1
20231201,재규어,197000,11.5
20231101,BMW,218000,13.8
20160501,혼다,180000,10.3
20220401,토요타,192000,10.9
20171001,혼다,183000,10.7
20230901,혼다,221000,14.9
20220701,토요타,197000,11.4
20231101,닷지,215000,14.1
20210901,토요타,205000,12.4
20180301,닛산,178000,9.0
20180101,스즈키,147000,6.3
20231101,폭스바겐,214000,13.1
20240601,볼보,230000,16.0
20181001,BMW,216000,13.8
20230701,미쓰비시,162000,14.0
20210301,벤츠,229000,15.0
20200901,재규어,196000,11.2
20200901,폭스바겐,216000,11.9
20200501,토요타,184000,12.8
20150701,벤츠,228000,14.6
20210301,아우디,210000,13.1
20220401,아우디,213000,13.4
20210301,폭스바겐,211000,12.2
20210801,랜드로버,240000,14.2
20170601,폭스바겐,187000,10.9
20210401,벤츠,223000,14.7
20230501,아큐라,225000,10.4
20180301,토요타,167000,10.4
20151001,BMW,223000,14.1
20171001,벤츠,232000,14.1
20220401,렉서스,229000,16.0
20180801,벤츠,213000,14.3
20190301,렉서스,230000,13.0
20160201,벤츠,225000,14.0
20160201,인피니티,147000,8.5
20230301,인피니티,202000,13.9
20220801,볼보,207000,13.6
20150701,토요타,194000,14.2
20190301,폭스바겐,214000,10.6
20190401,아우디,184000,12.6
20180601,BMW,220000,14.6
20210701,폭스바겐,217000,12.1
20190801,랜드로버,227000,12.4
20180301,스바루,281000,9.5
20181001,인피니티,192000,10.7
20180501,벤츠,208000,14.1
20180101,아큐라,172000,11.1
20190801,아큐라,199000,10.3
20210801,닛산,189000,11.4
20190801,볼보,206000,14.8
20220801,렉서스,221000,14.6
20161201,포드,185000,13.3
20201001,렉서스,239000,15.2
20170701,아우디,203000,13.8
20211101,미니,149000,12.0
20180201,벤츠,232000,14.0
20221101,크라이슬러,202000,14.7
20150701,미니,147000,7.4
20201101,푸조,203000,12.1
20211001,머큐리,169000,18.2
20240101,시트로엥,219000,9.7
20221001,마쯔다,166000,11.3
20190901,볼보,223000,14.9
20190101,렉서스,219000,12.8
